clientID,flag_zscore_anomaly,flag_score_deterioration,flag_exposure_spike,flag_salary_stopped,flag_overdraft_dependent,flag_card_acceleration,risk_flag_count
0025855854,False,False,False,False,False,False,0
0048023578,False,False,False,False,False,False,0
0125608073,False,False,False,False,False,False,0
0018537834,False,False,False,False,False,False,0
003692041,False,False,False,False,False,False,0
0077812496,False,False,False,False,False,False,0
0093626653,False,False,False,False,False,False,0
0102983376,False,False,False,False,False,False,0
0102983376,False,False,False,False,False,False,0
0107053930,False,False,False,False,False,False,0
0113285192,False,False,False,False,False,False,0
0119804775,False,False,False,False,False,False,0
0182371241,False,False,False,False,False,False,0
0182371241,False,False,False,False,False,False,0
0188055879,False,False,False,False,False,False,0
02033301,False,False,False,False,False,False,0
0203378969,False,False,False,False,False,False,0
0214985887,False,False,False,False,False,False,0
0291457733,False,False,False,False,False,False,0
0260489632,False,False,False,False,False,False,0
0241653538,False,False,False,False,False,False,0
0241653538,False,False,False,False,False,False,0
0117556306,False,False,False,False,False,False,0
0257779103,False,False,False,False,False,False,0
02834305,False,False,False,False,False,False,0
0357314733,False,False,False,False,False,False,0
0368275516,False,False,False,False,False,False,0
0399565788,False,False,False,False,False,False,0
0421945570,False,False,False,False,False,False,0
0451057245,False,False,False,False,False,False,0
044352512,False,False,False,False,False,False,0
0439403050,False,False,False,False,False,False,0
025886677,False,False,False,False,False,False,0
0472587825,False,False,False,False,False,False,0
04825052,False,False,False,False,False,False,0
04825052,False,False,False,False,False,False,0
0474867075,False,False,False,False,False,False,0
0493592363,False,False,False,False,False,False,0
0496942481,False,False,False,False,False,False,0
051756956,False,False,False,False,False,False,0
0531260775,False,False,False,False,False,False,0
0551072852,False,False,False,False,False,False,0
05034719,False,False,False,False,False,False,0
0557465275,False,False,False,False,False,False,0
0567884977,False,False,False,False,False,False,0
0599443834,False,False,False,False,False,False,0
0587541121,False,False,False,False,False,False,0
056301624,False,False,False,False,False,False,0
0585838354,False,False,False,False,False,False,0
0596135245,False,False,False,False,False,False,0
0632613356,False,False,False,False,False,False,0
0632613356,False,False,False,False,False,False,0
0627569288,False,False,False,False,False,False,0
0647121477,False,False,False,False,False,False,0
0667583270,False,False,False,False,False,False,0
0687880343,False,False,False,False,False,False,0
0709768378,False,False,False,False,False,False,0
0714810670,False,False,False,False,False,False,0
0626263956,False,False,False,False,False,False,0
0645442537,False,False,False,False,False,False,0
066471484,False,False,False,False,False,False,0
0720599475,False,False,False,False,False,False,0
0720599475,False,False,False,False,False,False,0
0722188867,False,False,False,False,False,False,0
0735211591,False,False,False,False,False,False,0
0740633008,False,False,False,False,False,False,0
0746522462,False,False,False,False,False,False,0
0760641647,False,False,False,False,False,False,0
0778065372,False,False,False,False,False,False,0
0806432926,False,False,False,False,False,False,0
0806432926,False,False,False,False,False,False,0
0821495179,False,False,False,False,False,False,0
0861042642,False,False,False,False,False,False,0
0861042642,False,False,False,False,False,False,0
0892488046,False,False,False,False,False,False,0
07973066,False,False,False,False,False,False,0
0815816650,False,False,False,False,False,False,0
0852959282,False,False,False,False,False,False,0
0924268154,False,False,False,False,False,False,0
0978027417,False,False,False,False,False,False,0
09330238,False,False,False,False,False,False,0
0956422625,False,False,False,False,False,False,0
0859128128,False,False,False,False,False,False,0
0859426511,False,False,False,False,False,False,0
0951808365,False,False,False,False,False,False,0
0953289359,False,False,False,False,False,False,0
0973667244,False,False,False,False,False,False,0
1025287218,False,False,False,False,False,False,0
1031911336,False,False,False,False,False,False,0
1031975366,False,False,False,False,False,False,0
1044189124,False,False,False,False,False,False,0
1099465880,False,False,False,False,False,False,0
11300844,False,False,False,False,False,False,0
1147382214,False,False,False,False,False,False,0
1147382214,False,False,False,False,False,False,0
1116756569,False,False,False,False,False,False,0
1117212151,False,False,False,False,False,False,0
1159771974,False,False,False,False,False,False,0
1165562032,False,False,False,False,False,False,0
1248729674,False,False,False,False,False,False,0
1221507078,False,False,False,False,False,False,0
1115104807,False,False,False,False,False,False,0
1238143331,False,False,False,False,False,False,0
1238825346,False,False,False,False,False,False,0
1244654612,False,False,False,False,False,False,0
1244654612,False,False,False,False,False,False,0
1305969787,False,False,False,False,False,False,0
1311610299,False,False,False,False,False,False,0
1332900524,False,False,False,False,False,False,0
132539627,False,False,False,False,False,False,0
1330632885,False,False,False,False,False,False,0
1116317824,False,False,False,False,False,False,0
1343399489,False,False,False,False,False,False,0
1343523024,False,False,False,False,False,False,0
1358244513,False,False,False,False,False,False,0
1373918108,False,False,False,False,False,False,0
1423933037,False,False,False,False,False,False,0
1415542009,False,False,False,False,False,False,0
1436242466,False,False,False,False,False,False,0
1447310893,False,False,False,False,False,False,0
1371198962,False,False,False,False,False,False,0
1454943418,False,False,False,False,False,False,0
1458157986,False,False,False,False,False,False,0
1458157986,False,False,False,False,False,False,0
1511738345,False,False,False,False,False,False,0
1477976104,False,False,False,False,False,False,0
1502624617,False,False,False,False,False,False,0
1457489009,False,False,False,False,False,False,0
1474786247,False,False,False,False,False,False,0
